#,单词,音标,解释,笔记
0,"sheet","英:/ʃiːt/ 美:/ʃiːt/","<ol><li><i>n.</i> 被单, 褥单, 床单</li><li>薄板, 薄片</li><li>纸</li><li>一团, 一片, 一层</li></ol><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">sheeted, sheeting, sheets</span> 
</div>",
1,"BLA","","<i>abbr.</i> Bachelor of Liberal Arts 文(科)学士",
2,"contrast","英:/ˈkɒntrɑːst/ 美:/ˈkɑːntræst/","<ol><li><i>n.</i> 对比, 对照</li><li>差异, 差别</li><li>对照物, 明显的对比物</li><li><i>vt. & vi.</i> 对比, 对照</li></ol><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">contrasted, contrasting, contrasts</span> 
</div>",
3,"synthesize","英:/ˈsɪnθəsaɪz/ 美:/ˈsɪnθəsaɪz/","<ol><li><i>vt.</i> 综合, 使合成</li><li>人工合成</li></ol><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">synthesized, synthesizing, synthesizes</span> 
</div>",
4,"medical","英:/'medɪk(ə)l/ 美:/'mɛdɪkl/","<div class=""exp""><ol><li>adj. 医学的；内科的；药的</li><li>n. 医生；体格检查</li></ol></div><div id=""trans""><span class=""txtDisabled"">副 词: </span> <span class=""trans"">medically</span>
</div>",
5,"organize","英:/ˈɔːɡənaɪz/ 美:/ˈɔːrɡənaɪz/","<div class=""exp""><ol><li>vt. 组织；使有系统化；给予生机；组织成立工会等</li><li>vi. 成立组织；组织起来</li></ol></div><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">organized, organizing, organizes</span> 
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">organizer</span>
</div>",
6,"refrigerator","英:/rɪ'frɪdʒəreɪtə/ 美:/rɪ'frɪdʒəretɚ/","<i>n.</i> 冰箱",
7,"analyzing","/'ænl,aɪz/","<i>v.</i> 分析",
8,"perfectly","英:/'pɜːfɪk(t)lɪ/ 美:/'pɝfɪktli/","<ol><li><i>adv.</i> 完美地;理想地</li><li>完全地;十足地</li><li>非常清楚；完全明白</li></ol>",
9,"effectively","英:/ɪˈfektɪvli/ 美:/ɪˈfektɪvli/","<ol><li><i>adv.</i> 有效地</li><li>实际上,事实上</li></ol>",
10,"inviolability","/ɪn,vaɪələ'bɪləti/","<i>n.</i> 神圣,不可亵渎,不可侵犯",
11,"invincible","英:/ɪn'vɪnsɪb(ə)l/ 美:/ɪn'vɪnsəbl/","<i>adj.</i> 不可战胜的;不能征服的<div id=""trans""><span class=""txtDisabled"">副 词: </span> <span class=""trans"">invincibly</span>
</div>",
12,"thrift","英:/θrɪft/ 美:/θrɪft/","<i>n.</i> 节俭, 节约",
13,"椅子","","<div class=""PY"">yǐ zǐ </div> <div class=""exp""><ol><li>chair</li><li>tablet chair</li></ol></div>",
14,"bath","英:/bɑːθ/ 美:/bæθ/","<div class=""exp""><ol><li>n. 浴室；沐浴；浴盆</li><li>vt. 洗澡</li><li>vi. 洗澡</li></ol></div>",
15,"slippery","英:/ˈslɪpəri/ 美:/ˈslɪpəri/","<div class=""exp"">adj. 滑的；狡猾的；不稳定的</div><div id=""trans""><span class=""txtDisabled"">比较级:  </span><span class=""trans"">slipperier, slipperiest</span> 
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">slipperiness</span>
</div>",
16,"cline","英:/klaɪn/ 美:/klaɪn/","<div class=""exp"">n. 渐变群，生态群</div>",
17,"reasoning","英:/'riːz(ə)nɪŋ/ 美:/'rizənɪŋ/","<i>n.</i> 运用思考、理解、推想等能力的做法或过程;推理",
18,"flyover","英:/'flaɪəʊvə/ 美:/'flaɪovɚ/","<div class=""exp"">n. 天桥；立交桥；立交马路</div>",
19,"transformation","英:/ˌtrænsfəˈmeɪʃn/ 美:/ˌtrænsfərˈmeɪʃn/","<ol><li><i>n.</i> 变化, 弯形, 变质, 转变</li><li>转变实例</li><li><电>变换,转换</li><li><数>变换(式)</li><li><核>转换</li><li><语>转换</li><li><生>变态,转化</li><li>(女人用的)假发</li></ol><div id=""trans""><span class=""txtDisabled"">形容词: </span> <span class=""trans"">transformative</span>
</div>",
20,"exploit","英:/ɪkˈsplɔɪt/ 美:/ɪkˈsplɔɪt/","<div class=""exp""><ol><li>vt. 开发，开拓；剥削；开采</li><li>n. 勋绩；功绩</li></ol></div><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">exploited, exploiting, exploits</span>  
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">exploitability</span>
<span class=""txtDisabled"">形容词: </span> <span class=""trans"">exploitable</span>
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">exploiter</span>
</div>",
21,"tie","英:/taɪ/ 美:/taɪ/","<ol><li><i>n.</i> 领带，领结；（绑扎东西用的）带子，绳子</li><li>纽带；关系，联系（ties）</li><li>不分胜负，平局</li><li><i>vt. & vi.</i> 打结；系，缚，捆，扎</li><li>（被动）束缚，约束，限制</li><li><i>vt.</i> 与…相关</li><li><i>vi.</i> （比赛中）打成平局，不分胜负</li></ol><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">ties，tied，tying</span>
</div>",
22,"ties","/taiz/","<div class=""exp""><ol><li>n. 结</li><li>v. 连结；绑</li></ol></div>",
23,"nail","英:/neɪl/ 美:/neɪl/","<div class=""exp""><ol><li>vt. 钉；揭露；使固定</li><li>n. 指甲；钉子</li></ol></div><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">nailed, nailing, nails</span> 
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">nailer</span>
</div>",
24,"rehabilitate","英:/ˌriːəˈbɪlɪteɪt/ 美:/ˌriːəˈbɪlɪteɪt/","<ol><li><i>vt.</i> 改造(罪犯等)；使恢复正常生活</li><li>使恢复原状；修复</li><li>恢复…的名誉</li></ol><div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">rehabilitated，rehabilitating，rehabilitates</span> 
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">rehabilitation</span>
<span class=""txtDisabled"">形容词: </span> <span class=""trans"">rehabilitative</span>
</div>",
25,"deteriorate","英:/dɪˈtɪəriəreɪt/ 美:/dɪˈtɪriəreɪt/","<i>vi.</i> 恶化, 变坏<div id=""trans""><span class=""txtDisabled"">时 态:  </span><span class=""trans"">deteriorated, deteriorating, deteriorates</span> 
<span class=""txtDisabled"">名 词: </span> <span class=""trans"">deterioration</span>
<span class=""txtDisabled"">形容词: </span> <span class=""trans"">deteriorative</span>
</div>",
26,"省略","","<div class=""PY"">shěng luè </div> <div class=""exp""><ol><li>leave out</li><li>omit</li><li>{语} ellipsis</li><li>abbreviation</li></ol></div>",
27,"walkway","英:/'wɔːkweɪ/ 美:/'wɔkwe/","<i>n.</i> <主美>走道;通道",
28,"screed","英:/skriːd/ 美:/skrid/","<div class=""exp"">n. 冗长的文章；砂浆层</div>",
